Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
Алюминиевая раздвижная чердачная лестница с дистанционным управлением ROTO Elektro 120x60,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Алюминиевая раздвижная чердачная лестница с дистанционным управлением Roto Elektro</h2> <p>Лестница ножничного типа Roto Elektro благодаря дистанционному управлению с помощью пульта предоставляет еще больше комфорта пользователям в период эксплуатации. Теперь выход на чердак или мансарду будет безопасен и удобен.</p> <p>Roto Elektro вылита из алюминиевого сплава, характеризующегося одновременно прочностью и легкостью. Короб изготовлен из дерева, его толщина составляет 19 мм, высота – 24 см. Для того, чтобы уберечь короб от влаги, его покрывают меламином.  Модель полностью готова к установке: она не нуждается в доработках и изменениях перед монтажем. </p> <h2>Комплектация:</h2> <ul> <li>телескопический поручень;</li> <li>ограждающие проем поручни;</li> <li>дистанционное управление с помощью ИК-пульта;</li> <li>датчик дыма (авто- открывание и закрывание);</li> <li>датчики, предупреждающие об опасности: оптические и акустические;</li> <li>монтажные упоры.</li> </ul> <h2>Характеристики алюминиевой лестницы на чердак ROTO Elektro:</h2> <ul> <li>Допустимая нагрузка: 200 кг;</li> <li>Глубина ступени: 14 см;</li> <li>Крышка – панель типа «сэндвич»: 80 мм;</li> <li>Высота короба: 240 мм;</li> <li>Сопротивление теплопередаче: 1,72.</li> </ul></div>",u,"110 933,70",UAH,шт,https://images.ua.prom.st/494634706_w640_h640_cid1051305_pid347436716-6660d7d7.jpg,+,346092360
Алюминиевая раздвижная чердачная лестница ROTO Exclusiv 130x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Раздвижная лестница на чердак Roto Exclusiv</h2> <p>Данная модель лестницы создана из специального алюминиевого сплава, она не требует дополнительного места на чердаке. Деревянный короб лестницы имеет высоту 24 см оснащен уплотнителем из EPDM-каучука. А утепленная крышка собрана по принципу седнвич-панели. </p> <p>Максимально допустимая наргузка на ступени составляет 200 кг. </p> <h3>Комплектация:</h3> <ul> <li>телескопический поручень;</li> <li>поручни, ограждающие проем;</li> <li>замок с ключом;</li> <li>монтажные упоры.</li> </ul> <h3>Характеристики лестницы ножничного типа Roto Exclusiv:</h3> <ul> <li>Допустимая нагрузка: 200 кг;</li> <li>Крышка – панель типа «сэндвич»: 76 мм;</li> <li>Высота короба: 240 мм;</li> <li>Глубина ступени: 14 см;</li> <li>Сопротивление теплопередаче: 1,72.</li> </ul></div>",u,"40 981,71",UAH,шт,https://images.ua.prom.st/494634704_w640_h640_cid1051305_pid347436714-b603529a.jpg,+,347532397
Алюминиевая раздвижная чердачная лестница ROTO Exclusiv 120x60,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Раздвижная лестница на чердак Roto Exclusiv</h2> <p>Данная модель лестницы создана из специального алюминиевого сплава, она не требует дополнительного места на чердаке. Деревянный короб лестницы имеет высоту 24 см оснащен уплотнителем из EPDM-каучука. А утепленная крышка собрана по принципу седнвич-панели. </p> <p>Максимально допустимая наргузка на ступени составляет 200 кг. </p> <h3>Комплектация:</h3> <ul> <li>телескопический поручень;</li> <li>поручни, ограждающие проем;</li> <li>замок с ключом;</li> <li>монтажные упоры.</li> </ul> <h3>Характеристики лестницы ножничного типа Roto Exclusiv:</h3> <ul> <li>Допустимая нагрузка: 200 кг;</li> <li>Крышка – панель типа «сэндвич»: 76 мм;</li> <li>Высота короба: 240 мм;</li> <li>Глубина ступени: 14 см;</li> <li>Сопротивление теплопередаче: 1,72.</li> </ul></div>",u,"40 981,71",UAH,шт,https://images.ua.prom.st/494634702_w640_h640_cid1051305_pid347436712-3b530f10.jpg,+,755137629
Алюминиевая раздвижная чердачная лестница ROTO Mini 120x60,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Металлическая лестница для чердака ROTO Mini </h2> <p>Лестница на чердак ножничного типа ROTO Mini создана из алюминиевого сплава, глубина ее ступеней составляет 8 см. Данная модель не требует дополнительного места на чердаке. Деревянный короб лестницы имеет высоту 24 см, оснащен уплотнителем из EPDM-каучука. </p> <p>Максимально допустимая наргузка на ступеньки – 150 кг. </p> <h2>Комплектация:</h2> <ul> <li>телескопический поручень;</li> <li>барьер, ограждающий проем;</li> <li>замок с ключом;</li> <li>монтажные зацепы.</li> </ul> <h2>Характеристики лестницы на чердак ROTO Mini :</h2> <ul> <li>Допустимая нагрузка, кг: 150</li> <li>Крышка – панель типа «сэндвич», мм: 84</li> <li>Высота короба, мм: 240</li> <li>Сопротивление теплопередаче: 1,25</li> </ul></div>",u,"25 808,02",UAH,шт,https://images.ua.prom.st/494634710_w640_h640_cid1051305_pid347436720-fcd69e62.jpg,+,515845385
Деревянная трехсекционная чердачная лестница ROTO Cadet 3 ISO-RC 120x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>Деревянная мансардная лестница Cadet 3 ISO-RC производится германским концерном Roto. Лестница делится на три секции, благодаря чему она компактно помещается в коробе небольших размеров. Ступеньки из бука достаточно прочные – они выдерживают вес до 150 кг и, благодаря антискользящим засечкам, оберегают пользователя от возможных травм. Ножки модели оснащены специальными насадками, которые защищают напольное покрытие от царапин. </p> <p>Толщина крышки лестницы Roto Cadet 3 ISO-RC составляет 56 мм – благодаря этому лестница отличается усиленными теплоизолирующими свойствами. В целях безопасности люк сонащен замком.  --- укомплектована шестом из металла для открывания. </p> <p>Лестница ROTO Cadet 3 ISO-RC предназначена для комнат высотой 220-285 см.</p> <p>Характеристики Лестницы на чердак ROTO Cadet 3 ISO-RC:</p> <ul> <li>Максимальная высота помещения, см: 285;</li> <li>Допустимая нагрузка, кг: 150;</li> <li>Крышка – панель типа «сэндвич», мм: 56;</li> <li>Высота короба, мм: 190;</li> <li>Сопротивление теплопередаче: 1,11.</li> </ul></div>",u,"9 180,72",UAH,шт,https://images.ua.prom.st/494634698_w640_h640_cid1051305_pid347436709-c8516e2b.jpg,+,870303102
Алюминиевая раздвижная чердачная лестница  с дистанционным управлением ROTO Elektro 130x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Алюминиевая раздвижная чердачная лестница с дистанционным управлением Roto Elektro</h2> <p>Лестница ножничного типа Roto Elektro благодаря дистанционному управлению с помощью пульта предоставляет еще больше комфорта пользователям в период эксплуатации. Теперь выход на чердак или мансарду будет безопасен и удобен.</p> <p>Roto Elektro вылита из алюминиевого сплава, характеризующегося одновременно прочностью и легкостью. Короб изготовлен из дерева, его толщина составляет 19 мм, высота – 24 см. Для того, чтобы уберечь короб от влаги, его покрывают меламином.  Модель полностью готова к установке: она не нуждается в доработках и изменениях перед монтажем. </p> <h2>Комплектация:</h2> <ul> <li>телескопический поручень;</li> <li>ограждающие проем поручни;</li> <li>дистанционное управление с помощью ИК-пульта;</li> <li>датчик дыма (авто- открывание и закрывание);</li> <li>датчики, предупреждающие об опасности: оптические и акустические;</li> <li>монтажные упоры.</li> </ul> <h2>Характеристики алюминиевой лестницы на чердак ROTO Elektro:</h2> <ul> <li>Допустимая нагрузка: 200 кг;</li> <li>Глубина ступени: 14 см;</li> <li>Крышка – панель типа «сэндвич»: 80 мм;</li> <li>Высота короба: 240 мм;</li> <li>Сопротивление теплопередаче: 1,72.</li> </ul></div>",u,"116 824,66",UAH,шт,https://images.ua.prom.st/494634708_w640_h640_cid1051305_pid347436718-2be22567.jpg,+,556910770
Деревянная трехсекционная чердачная лестница ROTO Cadet 3 ISO-RC 140x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>Деревянная мансардная лестница Cadet 3 ISO-RC производится германским концерном Roto. Лестница делится на три секции, благодаря чему она компактно помещается в коробе небольших размеров. Ступеньки из бука достаточно прочные – они выдерживают вес до 150 кг и, благодаря антискользящим засечкам, оберегают пользователя от возможных травм. Ножки модели оснащены специальными насадками, которые защищают напольное покрытие от царапин. </p> <p>Толщина крышки лестницы Roto Cadet 3 ISO-RC составляет 56 мм – благодаря этому лестница отличается усиленными теплоизолирующими свойствами. В целях безопасности люк сонащен замком.  --- укомплектована шестом из металла для открывания. </p> <p>Лестница ROTO Cadet 3 ISO-RC предназначена для комнат высотой 220-285 см.</p> <p>Характеристики Лестницы на чердак ROTO Cadet 3 ISO-RC:</p> <ul> <li>Максимальная высота помещения, см: 285;</li> <li>Допустимая нагрузка, кг: 150;</li> <li>Крышка – панель типа «сэндвич», мм: 56;</li> <li>Высота короба, мм: 190;</li> <li>Сопротивление теплопередаче: 1,11.</li> </ul></div>",u,"9 180,72",UAH,шт,https://images.ua.prom.st/494634701_w640_h640_cid1051305_pid347436711-c8c828d7.jpg,+,298955099
Алюминиевая раздвижная чердачная лестница  с дистанционным управлением ROTO Elektro 120x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Алюминиевая раздвижная чердачная лестница с дистанционным управлением Roto Elektro</h2> <p>Лестница ножничного типа Roto Elektro благодаря дистанционному управлению с помощью пульта предоставляет еще больше комфорта пользователям в период эксплуатации. Теперь выход на чердак или мансарду будет безопасен и удобен.</p> <p>Roto Elektro вылита из алюминиевого сплава, характеризующегося одновременно прочностью и легкостью. Короб изготовлен из дерева, его толщина составляет 19 мм, высота – 24 см. Для того, чтобы уберечь короб от влаги, его покрывают меламином.  Модель полностью готова к установке: она не нуждается в доработках и изменениях перед монтажем. </p> <h2>Комплектация:</h2> <ul> <li>телескопический поручень;</li> <li>ограждающие проем поручни;</li> <li>дистанционное управление с помощью ИК-пульта;</li> <li>датчик дыма (авто- открывание и закрывание);</li> <li>датчики, предупреждающие об опасности: оптические и акустические;</li> <li>монтажные упоры.</li> </ul> <h2>Характеристики алюминиевой лестницы на чердак ROTO Elektro:</h2> <ul> <li>Допустимая нагрузка: 200 кг;</li> <li>Глубина ступени: 14 см;</li> <li>Крышка – панель типа «сэндвич»: 80 мм;</li> <li>Высота короба: 240 мм;</li> <li>Сопротивление теплопередаче: 1,72.</li> </ul></div>",u,"116 824,66",UAH,шт,https://images.ua.prom.st/494634707_w640_h640_cid1051305_pid347436717-22b7f8ca.jpg,+,416101010
Алюминиевая раздвижная чердачная лестница ROTO Exclusiv 120x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Раздвижная лестница на чердак Roto Exclusiv</h2> <p>Данная модель лестницы создана из специального алюминиевого сплава, она не требует дополнительного места на чердаке. Деревянный короб лестницы имеет высоту 24 см оснащен уплотнителем из EPDM-каучука. А утепленная крышка собрана по принципу седнвич-панели. </p> <p>Максимально допустимая наргузка на ступени составляет 200 кг. </p> <h3>Комплектация:</h3> <ul> <li>телескопический поручень;</li> <li>поручни, ограждающие проем;</li> <li>замок с ключом;</li> <li>монтажные упоры.</li> </ul> <h3>Характеристики лестницы ножничного типа Roto Exclusiv:</h3> <ul> <li>Допустимая нагрузка: 200 кг;</li> <li>Крышка – панель типа «сэндвич»: 76 мм;</li> <li>Высота короба: 240 мм;</li> <li>Глубина ступени: 14 см;</li> <li>Сопротивление теплопередаче: 1,72.</li> </ul></div>",u,"40 981,71",UAH,шт,https://images.ua.prom.st/494634703_w640_h640_cid1051305_pid347436713-7b6fff72.jpg,+,805817323
Алюминиевая раздвижная чердачная лестница ROTO Mini 120x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Металлическая лестница для чердака ROTO Mini </h2> <p>Лестница на чердак ножничного типа ROTO Mini создана из алюминиевого сплава, глубина ее ступеней составляет 8 см. Данная модель не требует дополнительного места на чердаке. Деревянный короб лестницы имеет высоту 24 см, оснащен уплотнителем из EPDM-каучука. </p> <p>Максимально допустимая наргузка на ступеньки – 150 кг. </p> <h2>Комплектация:</h2> <ul> <li>телескопический поручень;</li> <li>барьер, ограждающий проем;</li> <li>замок с ключом;</li> <li>монтажные зацепы.</li> </ul> <h2>Характеристики лестницы на чердак ROTO Mini :</h2> <ul> <li>Допустимая нагрузка, кг: 150</li> <li>Крышка – панель типа «сэндвич», мм: 84</li> <li>Высота короба, мм: 240</li> <li>Сопротивление теплопередаче: 1,25</li> </ul></div>",u,"25 808,02",UAH,шт,https://images.ua.prom.st/494634711_w640_h640_cid1051305_pid347436721-e8fd3dff.jpg,+,498620591
Алюминиевая раздвижная чердачная лестница ROTO Exclusiv 140x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Раздвижная лестница на чердак Roto Exclusiv</h2> <p>Данная модель лестницы создана из специального алюминиевого сплава, она не требует дополнительного места на чердаке. Деревянный короб лестницы имеет высоту 24 см оснащен уплотнителем из EPDM-каучука. А утепленная крышка собрана по принципу седнвич-панели. </p> <p>Максимально допустимая наргузка на ступени составляет 200 кг. </p> <h3>Комплектация:</h3> <ul> <li>телескопический поручень;</li> <li>поручни, ограждающие проем;</li> <li>замок с ключом;</li> <li>монтажные упоры.</li> </ul> <h3>Характеристики лестницы ножничного типа Roto Exclusiv:</h3> <ul> <li>Допустимая нагрузка: 200 кг;</li> <li>Крышка – панель типа «сэндвич»: 76 мм;</li> <li>Высота короба: 240 мм;</li> <li>Глубина ступени: 14 см;</li> <li>Сопротивление теплопередаче: 1,72.</li> </ul></div>",u,"40 981,71",UAH,шт,https://images.ua.prom.st/494634705_w640_h640_cid1051305_pid347436715-586fbcd9.jpg,+,275474462
Алюминиевая раздвижная чердачная лестница  с дистанционным управлением ROTO Elektro 140x70,Чердачные лестницы ROTO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Алюминиевая раздвижная чердачная лестница с дистанционным управлением Roto Elektro</h2> <p>Лестница ножничного типа Roto Elektro благодаря дистанционному управлению с помощью пульта предоставляет еще больше комфорта пользователям в период эксплуатации. Теперь выход на чердак или мансарду будет безопасен и удобен.</p> <p>Roto Elektro вылита из алюминиевого сплава, характеризующегося одновременно прочностью и легкостью. Короб изготовлен из дерева, его толщина составляет 19 мм, высота – 24 см. Для того, чтобы уберечь короб от влаги, его покрывают меламином.  Модель полностью готова к установке: она не нуждается в доработках и изменениях перед монтажем. </p> <h2>Комплектация:</h2> <ul> <li>телескопический поручень;</li> <li>ограждающие проем поручни;</li> <li>дистанционное управление с помощью ИК-пульта;</li> <li>датчик дыма (авто- открывание и закрывание);</li> <li>датчики, предупреждающие об опасности: оптические и акустические;</li> <li>монтажные упоры.</li> </ul> <h2>Характеристики алюминиевой лестницы на чердак ROTO Elektro:</h2> <ul> <li>Допустимая нагрузка: 200 кг;</li> <li>Глубина ступени: 14 см;</li> <li>Крышка – панель типа «сэндвич»: 80 мм;</li> <li>Высота короба: 240 мм;</li> <li>Сопротивление теплопередаче: 1,72.</li> </ul></div>",u,"116 824,66",UAH,шт,https://images.ua.prom.st/494634709_w640_h640_cid1051305_pid347436719-0c85f596.jpg,+,565387808
